net,length_um
_00034_,104.18µm
net214,104.165µm
_00016_,104.12µm
net619,104.12µm
mac_data_in2\[10\],103.83µm
mac_wt_in1\[21\],103.7µm
net357,103.52µm
net258,103.51µm
net435,103.44µm
net168,103.42µm
net299,103.3µm
net502,103.215µm
net292,103.16µm
net233,103.125µm
net322,103.1µm
net41,103.09µm
net349,103.09µm
net470,102.78µm
net447,102.495µm
net639,102.48µm
net345,101.98µm
_00405_,101.955µm
net185,101.925µm
net428,101.905µm
net617,101.81µm
net329,101.805µm
net171,101.74µm
mac_data_in1\[16\],101.66µm
u_MAC14.mac_weight\[4\],101.47µm
net326,101.22µm
net199,100.56µm
_00017_,100.525µm
net363,100.5µm
net515,100.36µm
net296,100.145µm
net629,99.98µm
net526,99.845µm
net401,99.84µm
net347,99.64µm
net350,99.36µm
mac_wt_in2\[22\],99.235µm
clknet_leaf_25_clk,99.16µm
net280,99.135µm
net436,99.065µm
net374,99µm
net429,99µm
net394,98.8µm
net571,98.685µm
net42,98.56µm
net294,98.3µm
net642,98.22µm
net426,97.845µm
net583,97.78µm
clknet_leaf_43_clk,97.78µm
net337,97.4µm
_00054_,97.085µm
net666,96.82µm
net211,96.625µm
mac_data_in1\[17\],96.62µm
net311,96.39µm
net201,96.005µm
net632,95.96µm
net557,95.88µm
net455,95.86µm
net404,95.7µm
net656,95.58µm
net242,95.53µm
net512,95.5µm
net175,95.19µm
net567,95.115µm
net384,95.1µm
net241,95µm
mac_acc_in1\[39\],94.775µm
net452,94.76µm
clknet_leaf_56_clk,94.46µm
net661,94.22µm
net302,94.055µm
net365,93.82µm
net187,93.77µm
net176,93.7µm
net480,93.635µm
_00558_,93.4µm
net306,93.39µm
net606,93.12µm
net231,93.085µm
u_MAC14.mac_weight\[6\],93µm
net541,92.58µm
_00372_,92.565µm
net681,92.48µm
net607,92.42µm
clknet_leaf_6_clk,92.32µm
mac_acc_in2\[38\],92.22µm
net433,92.125µm
net3,91.9µm
mac_data_in1\[21\],91.68µm
net686,91.68µm
_00119_,91.645µm
mac_data_in2\[16\],91.64µm
mac_data_in3\[28\],91.62µm
net266,91.32µm
net307,91.19µm
net193,90.94µm
net438,90.82µm
net441,90.765µm
net496,90.635µm
mac_data_in1\[13\],90.62µm
net473,90.58µm
net169,90.32µm
mac_wt_in3\[10\],90.2µm
clknet_leaf_75_clk,89.74µm
net166,89.695µm
mac_acc_in2\[39\],89.56µm
net536,89.48µm
net551,89.46µm
net548,89.44µm
mac_acc_in1\[40\],89.36µm
clknet_leaf_37_clk,89.36µm
net4,89.22µm
clknet_leaf_46_clk,88.765µm
net226,88.64µm
net397,88.62µm
net529,88.12µm
net581,88.12µm
net191,88.09µm
net393,88.05µm
net564,87.96µm
u_MAC34.mac_weight\[2\],87.88µm
net497,87.82µm
net154,87.365µm
net562,87.33µm
clknet_leaf_36_clk,87.14µm
net554,86.7µm
_00050_,86.66µm
mac_data_in3\[20\],86.38µm
mac_acc_in1\[41\],86.215µm
net574,86.18µm
net273,85.8µm
_00569_,85.76µm
net183,85.735µm
mac_wt_in2\[21\],85.66µm
net324,85.505µm
net161,85.42µm
u_MAC14.mac_weight\[0\],85.22µm
net331,85.165µm
net474,85.085µm
mac_acc_in1\[69\],85.02µm
mac_data_in2\[9\],84.64µm
net491,84.44µm
mac_data_in1\[20\],84.38µm
net334,84.24µm
clknet_leaf_3_clk,84.135µm
mac_acc_in2\[41\],83.91µm
clknet_leaf_73_clk,83.88µm
mac_acc_in1\[110\],83.78µm
net532,83.68µm
net576,83.52µm
net580,83.39µm
mac_data_in1\[12\],83.18µm
mac_wt_in2\[1\],83.04µm
net156,82.94µm
net454,82.86µm
net32,82.76µm
net638,82.72µm
_00053_,82.56µm
mac_data_in3\[19\],82.42µm
net224,82.35µm
net309,82.225µm
_00118_,81.965µm
net209,81.96µm
net17,81.86µm
mac_data_in3\[16\],81.85µm
net341,81.63µm
mac_wt_in1\[3\],81.54µm
_00557_,81.44µm
mac_data_in2\[25\],81.44µm
net608,81.28µm
mac_data_in1\[31\],81.26µm
u_MAC44.mac_weight\[2\],81.12µm
clknet_leaf_55_clk,81.1µm
net174,80.97µm
u_MAC34.mac_weight\[5\],80.85µm
_00020_,80.82µm
mac_acc_in1\[42\],80.82µm
net677,80.68µm
net657,80.42µm
_00002_,80.22µm
net485,80.095µm
mac_acc_in1\[47\],80.08µm
net648,79.98µm
clknet_leaf_68_clk,79.94µm
net320,79.86µm
net264,79.83µm
net18,79.78µm
mac_acc_in1\[67\],79.72µm
mac_wt_in3\[2\],79.62µm
net439,79.22µm
net528,79.12µm
mac_data_in3\[13\],78.66µm
mac_acc_in2\[47\],78.26µm
net545,78.12µm
net471,78.04µm
net487,78.02µm
net653,77.9µm
mac_acc_in1\[72\],77.8µm
net499,77.68µm
net663,77.52µm
_00568_,77.34µm
_00484_,77.22µm
clknet_leaf_10_clk,77.04µm
net437,76.94µm
net478,76.94µm
mac_acc_in1\[68\],76.78µm
net222,76.75µm
mac_acc_in2\[110\],76.5µm
net293,76.46µm
net195,76.43µm
clknet_leaf_49_clk,76.38µm
net252,76.24µm
net522,76.2µm
net238,75.77µm
_00517_,75.7µm
net469,75.68µm
clknet_leaf_47_clk,75.68µm
net371,75.63µm
net165,75.43µm
mac_acc_in1\[6\],75.14µm
mac_acc_in2\[103\],75.06µm
net254,74.995µm
_00328_,74.985µm
mac_data_in2\[27\],74.97µm
net678,74.78µm
clknet_leaf_9_clk,74.78µm
net667,74.76µm
mac_data_in1\[11\],74.62µm
net8,74.57µm
net521,74.46µm
net621,74.36µm
net422,74.31µm
mac_acc_in2\[42\],74.22µm
mac_acc_in2\[43\],74.18µm
mac_acc_in2\[106\],73.96µm
clknet_leaf_61_clk,73.64µm
mac_acc_in2\[75\],73.56µm
net507,73.5µm
net689,73.42µm
net587,73.36µm
net180,73.29µm
net505,73.235µm
net240,73.21µm
net237,73.16µm
net305,73.115µm
clknet_leaf_40_clk,73.04µm
mac_acc_in1\[7\],73.01µm
net500,72.965µm
net543,72.95µm
mac_data_in3\[24\],72.88µm
net247,72.845µm
mac_data_in1\[8\],72.84µm
clknet_leaf_38_clk,72.62µm
_00566_,72.4µm
net213,72.31µm
_00451_,72.28µm
net690,72.14µm
net236,72.09µm
mac_acc_in1\[70\],71.98µm
net217,71.905µm
mac_acc_in3\[104\],71.9µm
net317,71.87µm
_00567_,71.84µm
mac_acc_in1\[108\],71.82µm
clknet_leaf_23_clk,71.78µm
clknet_leaf_71_clk,71.775µm
_00224_,71.74µm
_00483_,71.7µm
mac_acc_in1\[66\],71.26µm
clknet_leaf_4_clk,71.2µm
mac_acc_in2\[101\],71.12µm
mac_acc_in2\[108\],71.1µm
net155,71.06µm
net321,70.955µm
mac_acc_in3\[76\],70.88µm
mac_acc_in2\[40\],70.8µm
mac_data_in2\[26\],70.62µm
mac_data_in1\[5\],70.55µm
clknet_leaf_52_clk,70.48µm
u_MAC14.mac_weight\[5\],70.46µm
net220,70.38µm
mac_acc_in1\[65\],70.02µm
clknet_leaf_80_clk,69.86µm
mac_acc_in2\[111\],69.84µm
clknet_leaf_1_clk,69.8µm
net453,69.675µm
net682,69.54µm
mac_data_in2\[13\],69.5µm
net540,69.5µm
mac_data_in1\[3\],69.44µm
mac_wt_in3\[13\],69.16µm
net385,69.075µm
mac_acc_in2\[107\],68.96µm
net423,68.86µm
_00080_,68.825µm
net202,68.82µm
net251,68.64µm
mac_data_in3\[25\],68.48µm
mac_acc_in2\[104\],68.46µm
net644,68.42µm
net588,68.24µm
net442,68.19µm
mac_acc_in3\[108\],68.18µm
net671,68.12µm
clknet_leaf_22_clk,67.84µm
net406,67.83µm
mac_acc_in1\[38\],67.76µm
mac_acc_in3\[75\],67.76µm
mac_wt_in1\[19\],67.72µm
clknet_leaf_60_clk,67.61µm
mac_acc_in1\[71\],67.46µm
net446,67.4µm
net449,67.36µm
net490,67.26µm
mac_acc_in1\[43\],67.06µm
clknet_leaf_78_clk,67.06µm
mac_acc_in2\[109\],66.88µm
net651,66.76µm
net173,66.62µm
mac_acc_in3\[111\],66.56µm
net279,66.48µm
_00539_,66.44µm
mac_acc_in1\[105\],66.44µm
_00329_,66.26µm
mac_data_in3\[26\],66.24µm
mac_acc_in3\[73\],66.12µm
net323,66.09µm
mac_acc_in2\[76\],66.06µm
clknet_leaf_66_clk,65.86µm
mac_acc_in1\[45\],65.58µm
net245,65.52µm
net464,65.52µm
mac_acc_in2\[102\],65.43µm
net494,65.36µm
mac_wt_in1\[14\],65.2µm
mac_acc_in3\[39\],65.16µm
_00360_,65.125µm
mac_data_in3\[14\],64.995µm
clknet_leaf_19_clk,64.92µm
mac_wt_in3\[20\],64.84µm
mac_acc_in2\[105\],64.7µm
mac_data_in2\[12\],64.64µm
mac_acc_in2\[73\],64.46µm
_00384_,64.405µm
net276,64.385µm
net228,64.24µm
mac_data_in3\[27\],64.14µm
_00021_,64.06µm
net628,64.02µm
net157,63.98µm
net527,63.84µm
net164,63.82µm
net417,63.82µm
_00674_,63.74µm
net476,63.73µm
net387,63.69µm
clknet_leaf_8_clk,63.44µm
_00243_,63.34µm
_00004_,63.28µm
u_MAC14.mac_weight\[2\],63.14µm
mac_acc_in2\[3\],63.12µm
_00117_,63.085µm
mac_acc_in2\[72\],63.02µm
mac_data_in1\[30\],62.88µm
_00373_,62.825µm
mac_wt_in2\[10\],62.71µm
net178,62.61µm
net467,62.6µm
net584,62.405µm
mac_data_in2\[2\],62.38µm
net675,62.38µm
mac_data_in1\[7\],62.28µm
_00450_,62.26µm
clknet_leaf_62_clk,62.24µm
net189,62.13µm
net389,62.12µm
_00456_,62.105µm
_00361_,62.025µm
net560,61.84µm
mac_acc_in3\[107\],61.6µm
_00388_,61.545µm
_00452_,61.485µm
net444,61.38µm
_00386_,61.305µm
net539,61.28µm
mac_acc_in3\[109\],61.24µm
net531,61.2µm
mac_wt_in2\[20\],61.1µm
mac_acc_in2\[77\],60.98µm
clknet_leaf_12_clk,60.84µm
_00422_,60.66µm
net391,60.6µm
_00455_,60.585µm
_00487_,60.545µm
u_MAC14.mac_weight\[1\],60.525µm
net9,60.46µm
mac_data_in1\[6\],60.45µm
mac_acc_in2\[36\],60.38µm
mac_wt_in1\[27\],60.36µm
mac_acc_in2\[71\],60.08µm
mac_acc_in1\[104\],60.02µm
mac_wt_in3\[17\],59.96µm
_00371_,59.84µm
net376,59.84µm
mac_data_in3\[21\],59.62µm
net582,59.585µm
_00001_,59.54µm
mac_acc_in2\[74\],59.16µm
_00251_,58.98µm
mac_wt_in2\[17\],58.98µm
net492,58.98µm
net413,58.93µm
mac_acc_in3\[6\],58.82µm
mac_data_in3\[5\],58.78µm
mac_acc_in2\[78\],58.76µm
mac_acc_in1\[9\],58.74µm
mac_wt_in1\[30\],58.6µm
_00225_,58.56µm
_00005_,58.52µm
net277,58.385µm
mac_acc_in1\[100\],58.32µm
net450,58.32µm
_00249_,58.26µm
_00330_,58.245µm
_00383_,58.205µm
mac_acc_in2\[79\],58.16µm
clknet_leaf_70_clk,58.1µm
mac_data_in1\[0\],57.94µm
_00642_,57.86µm
mac_acc_in2\[37\],57.78µm
_00292_,57.705µm
mac_acc_in2\[70\],57.52µm
mac_acc_in2\[46\],57.48µm
clknet_leaf_58_clk,57.14µm
_00081_,57.125µm
net249,57.065µm
_00346_,57.045µm
mac_acc_in3\[72\],56.93µm
net243,56.92µm
mac_data_in3\[9\],56.8µm
mac_data_in1\[4\],56.74µm
net687,56.66µm
net172,56.64µm
clknet_leaf_53_clk,56.6µm
_00600_,56.56µm
clknet_leaf_20_clk,56.56µm
mac_data_in2\[3\],56.5µm
net261,56.46µm
clknet_leaf_32_clk,56.44µm
_00970_,56.34µm
mac_acc_in2\[32\],56.24µm
net346,56.22µm
net465,56.22µm
clknet_leaf_44_clk,56.14µm
mac_acc_in1\[103\],56.06µm
net419,55.58µm
mac_acc_in3\[70\],55.38µm
net216,55.26µm
net335,55.26µm
net301,55.225µm
mac_data_in3\[8\],55.1µm
_00353_,55.065µm
_00385_,54.925µm
mac_acc_in2\[100\],54.88µm
mac_acc_in2\[7\],54.86µm
mac_acc_in3\[110\],54.655µm
mac_data_in1\[9\],54.6µm
mac_acc_in1\[64\],54.56µm
mac_acc_in3\[77\],54.56µm
net343,54.43µm
net265,54.4µm
mac_acc_in3\[79\],54.34µm
mac_data_in2\[0\],54.28µm
mac_data_in3\[17\],54.16µm
_05256_,54.14µm
net234,54.12µm
clknet_leaf_28_clk,54.12µm
mac_data_in2\[19\],53.96µm
net685,53.96µm
net558,53.88µm
_00573_,53.84µm
net354,53.78µm
mac_acc_in3\[106\],53.76µm
_00227_,53.7µm
clknet_leaf_21_clk,53.7µm
clknet_leaf_27_clk,53.66µm
_00712_,53.54µm
mac_acc_in3\[41\],53.5µm
net12,53.5µm
_03731_,53.44µm
mac_acc_in3\[101\],53.42µm
net206,53.42µm
mac_wt_in2\[5\],53.4µm
mac_acc_in1\[5\],53.14µm
mac_wt_in1\[6\],52.96µm
_00228_,52.885µm
mac_acc_in1\[101\],52.86µm
clknet_leaf_34_clk,52.74µm
mac_acc_in2\[80\],52.5µm
_00354_,52.46µm
mac_acc_in3\[105\],52.36µm
net538,52.36µm
clknet_leaf_74_clk,52.26µm
_00340_,52.2µm
_05278_,52.12µm
_00116_,51.745µm
mac_data_in3\[23\],51.65µm
u_MAC24.mac_weight\[5\],51.59µm
net360,51.56µm
_00518_,51.52µm
net552,51.36µm
_00458_,51.125µm
net598,51.02µm
net670,50.74µm
_00246_,50.68µm
_00341_,50.625µm
mac_data_in2\[20\],50.62µm
clknet_leaf_30_clk,50.48µm
u_MAC34.mac_weight\[4\],50.36µm
mac_acc_in2\[4\],50.28µm
_01241_,50.22µm
_00115_,50.205µm
_00755_,50.07µm
_03706_,50µm
clknet_leaf_2_clk,49.995µm
_01140_,49.98µm
