net,length_um
_01097_,28.28µm
mac_acc_in2\[67\],28.28µm
mac_data_in2\[28\],28.06µm
_05550_,28µm
u_MAC24.mac_weight\[7\],28µm
_00321_,27.98µm
_00797_,27.98µm
_05351_,27.965µm
_00311_,27.96µm
clknet_leaf_48_clk,27.96µm
_03157_,27.9µm
net30,27.8µm
_02709_,27.74µm
_02320_,27.7µm
mac_data_in1\[27\],27.7µm
net748,27.7µm
_05107_,27.68µm
net57,27.68µm
mac_data_in2\[30\],27.66µm
u_MAC34.mac_weight\[3\],27.66µm
_00006_,27.64µm
_00114_,27.46µm
_06313_,27.44µm
_03305_,27.42µm
_04668_,27.4µm
_02100_,27.36µm
_00525_,27.3µm
_02132_,27.28µm
_03712_,27.24µm
_05115_,27.16µm
_00446_,27.105µm
_04426_,27.1µm
u_MAC44.mac_weight\[4\],27.06µm
_00884_,26.96µm
_01557_,26.96µm
_00391_,26.925µm
_02956_,26.895µm
_02254_,26.86µm
clknet_leaf_42_clk,26.82µm
_00445_,26.745µm
_05314_,26.66µm
_00098_,26.605µm
_00129_,26.605µm
clknet_leaf_17_clk,26.6µm
_03092_,26.56µm
_04443_,26.5µm
_04466_,26.4µm
_05781_,26.4µm
_03382_,26.38µm
_01377_,26.375µm
_01207_,26.36µm
_01968_,26.28µm
_00553_,26.26µm
_04727_,26.2µm
_02764_,26.16µm
_00007_,26.04µm
_01675_,25.96µm
_04889_,25.9µm
_03695_,25.86µm
mac_acc_in3\[32\],25.84µm
_03562_,25.78µm
_04158_,25.76µm
_00310_,25.685µm
_05083_,25.68µm
_01787_,25.6µm
_00277_,25.58µm
_05837_,25.56µm
_01840_,25.5µm
_02119_,25.5µm
_03737_,25.48µm
_00978_,25.46µm
_01497_,25.46µm
data_arr[31],25.42µm
_00574_,25.38µm
_02266_,25.32µm
_01775_,25.31µm
_00418_,25.265µm
_02944_,25.26µm
_05285_,25.26µm
_00852_,25.24µm
_01779_,25.205µm
_01202_,25.2µm
_02664_,25.18µm
mac_acc_in1\[13\],25.18µm
_02069_,25.14µm
_03071_,25.14µm
mac_acc_out3\[36\],25.12µm
_05981_,25.1µm
_05530_,25.09µm
_02318_,25.08µm
net842,25.08µm
_01882_,25.06µm
_01826_,25.02µm
_01131_,24.98µm
_03351_,24.96µm
_05473_,24.96µm
_04822_,24.92µm
u_MAC24.mac_weight\[4\],24.88µm
_03360_,24.86µm
_00732_,24.78µm
_01419_,24.76µm
_04798_,24.74µm
_02875_,24.72µm
_03480_,24.7µm
_04215_,24.68µm
_04955_,24.66µm
_03836_,24.64µm
net410,24.625µm
_05521_,24.62µm
clknet_leaf_35_clk,24.6µm
_04935_,24.56µm
_03958_,24.52µm
_00278_,24.485µm
_03536_,24.48µm
_05064_,24.48µm
acc_out[114],24.47µm
_02702_,24.46µm
_01685_,24.42µm
_00796_,24.36µm
_03885_,24.3µm
_05378_,24.3µm
mac_acc_out3\[34\],24.24µm
_06181_,24.22µm
_03266_,24.2µm
_03392_,24.18µm
_05182_,24.16µm
_00914_,24.12µm
_03548_,24.06µm
_01866_,24µm
_03013_,23.98µm
_03269_,23.96µm
_02425_,23.84µm
_04168_,23.84µm
_01817_,23.72µm
_01892_,23.72µm
_03250_,23.7µm
_02987_,23.68µm
_01893_,23.65µm
_01548_,23.62µm
_04343_,23.62µm
_04363_,23.62µm
_05109_,23.62µm
mac_acc_in3\[3\],23.59µm
_03135_,23.56µm
_01266_,23.54µm
_01615_,23.52µm
mac_acc_in3\[9\],23.52µm
_04391_,23.4µm
_00265_,23.345µm
_03515_,23.32µm
_01752_,23.3µm
_05810_,23.28µm
_03029_,23.26µm
_02522_,23.22µm
_00554_,23.18µm
_00836_,23.18µm
_02965_,23.18µm
_05572_,23.1µm
_03152_,23.04µm
_02622_,23.02µm
_04570_,23µm
_00745_,22.94µm
_00793_,22.94µm
_01436_,22.94µm
_02301_,22.92µm
_02984_,22.92µm
net833,22.92µm
_01020_,22.88µm
_01947_,22.84µm
mac_acc_in2\[64\],22.84µm
_00864_,22.8µm
_03098_,22.8µm
_04624_,22.8µm
_01384_,22.78µm
_00858_,22.72µm
_01498_,22.72µm
_05052_,22.68µm
_00457_,22.665µm
_01574_,22.66µm
_01910_,22.66µm
_05317_,22.66µm
_05926_,22.58µm
_02093_,22.57µm
_02652_,22.54µm
_04871_,22.54µm
_04088_,22.5µm
_01463_,22.48µm
_01990_,22.42µm
_02029_,22.4µm
_05270_,22.38µm
_04953_,22.36µm
_03178_,22.3µm
_00401_,22.285µm
_02422_,22.24µm
_04747_,22.22µm
_01861_,22.2µm
_04635_,22.2µm
_05560_,22.16µm
_05888_,22.16µm
_01284_,22.14µm
_03987_,22.14µm
_05112_,22.14µm
mac_acc_in3\[0\],22.14µm
_01583_,22.12µm
_02253_,22.105µm
mac_data_in2\[31\],22.08µm
_05934_,22.075µm
net147,22.06µm
_03656_,22.04µm
_03338_,22.02µm
_02999_,22µm
_01963_,21.92µm
_02326_,21.91µm
_04863_,21.875µm
mac_data_in3\[31\],21.87µm
_03570_,21.86µm
_02060_,21.84µm
_02781_,21.84µm
_06026_,21.84µm
wt_arr[17],21.82µm
_04731_,21.8µm
_04735_,21.78µm
_00758_,21.745µm
_03160_,21.72µm
_03600_,21.68µm
_04119_,21.68µm
_02574_,21.66µm
_06133_,21.66µm
net838,21.66µm
_01392_,21.64µm
_05122_,21.62µm
_02464_,21.6µm
_02929_,21.6µm
_04619_,21.6µm
_01278_,21.595µm
_01234_,21.56µm
_03380_,21.56µm
_03977_,21.54µm
_04030_,21.54µm
_00037_,21.535µm
_02872_,21.48µm
_05360_,21.48µm
_01217_,21.46µm
_02874_,21.46µm
_05349_,21.46µm
_00485_,21.44µm
_05924_,21.44µm
_01633_,21.42µm
_01818_,21.42µm
_05731_,21.42µm
_04706_,21.4µm
_01647_,21.38µm
_03117_,21.38µm
_00853_,21.36µm
_01901_,21.34µm
_01862_,21.3µm
_04907_,21.3µm
_02521_,21.28µm
_01071_,21.24µm
_02743_,21.22µm
_01847_,21.18µm
_00530_,21.16µm
_01142_,21.16µm
_04535_,21.16µm
_01796_,21.12µm
data_arr[24],21.1µm
_01952_,21.06µm
_03665_,21.02µm
_03843_,21µm
_04192_,21µm
_02195_,20.96µm
_02516_,20.96µm
_04739_,20.96µm
_02949_,20.94µm
_04259_,20.94µm
_05761_,20.94µm
_04921_,20.92µm
_00705_,20.9µm
_01166_,20.9µm
net22,20.9µm
net23,20.9µm
_00416_,20.845µm
_00823_,20.8µm
_02429_,20.8µm
_05040_,20.76µm
_01178_,20.72µm
_02843_,20.72µm
_03549_,20.72µm
_06319_,20.7µm
_05547_,20.68µm
_05678_,20.67µm
_01173_,20.64µm
_01937_,20.64µm
clknet_leaf_31_clk,20.62µm
_06152_,20.6µm
_01614_,20.58µm
clknet_leaf_11_clk,20.54µm
_01160_,20.53µm
acc_out[66],20.53µm
_01279_,20.52µm
_01199_,20.5µm
_00719_,20.48µm
_00684_,20.46µm
_03116_,20.46µm
_00891_,20.44µm
_02031_,20.44µm
_03320_,20.44µm
_06076_,20.44µm
net25,20.44µm
_03888_,20.38µm
_06243_,20.38µm
u_MAC34.mac_weight\[7\],20.38µm
_03513_,20.355µm
_03336_,20.35µm
_03727_,20.34µm
_03925_,20.34µm
_04909_,20.32µm
_03776_,20.3µm
_01595_,20.295µm
_04716_,20.28µm
_03175_,20.27µm
_00625_,20.26µm
_01423_,20.26µm
_01911_,20.26µm
_02281_,20.26µm
_00958_,20.24µm
_00987_,20.2µm
_01089_,20.2µm
_03812_,20.2µm
_04630_,20.2µm
_00317_,20.18µm
_02322_,20.16µm
_02804_,20.16µm
_05226_,20.16µm
_02864_,20.14µm
_03327_,20.14µm
_03810_,20.14µm
_03761_,20.12µm
_03768_,20.12µm
_04248_,20.12µm
_05156_,20.12µm
_03620_,20.1µm
_04155_,20.1µm
_01072_,20.08µm
_02041_,20.08µm
net143,20.08µm
_04320_,20.07µm
_00717_,20.06µm
_02978_,20.06µm
_05354_,20.06µm
data_arr[25],20.06µm
_01464_,20.02µm
_04434_,20.02µm
_04676_,20.02µm
_06197_,20.01µm
_04580_,19.995µm
mac_acc_in3\[11\],19.96µm
_04230_,19.94µm
_05962_,19.94µm
_02199_,19.915µm
_03719_,19.9µm
_05019_,19.9µm
_05526_,19.88µm
_04693_,19.86µm
acc_out[99],19.86µm
_05320_,19.84µm
acc_out[6],19.84µm
acc_out[8],19.84µm
_03343_,19.82µm
_04201_,19.82µm
_04204_,19.82µm
_02157_,19.8µm
_04184_,19.8µm
_05046_,19.8µm
_00415_,19.785µm
_04847_,19.78µm
_04966_,19.76µm
_01864_,19.72µm
_04033_,19.72µm
_04340_,19.7µm
_04359_,19.7µm
_03440_,19.66µm
_03518_,19.66µm
_00038_,19.64µm
_00287_,19.64µm
_03031_,19.64µm
_02937_,19.6µm
mac_acc_in3\[2\],19.58µm
_02095_,19.54µm
_03465_,19.52µm
mac_acc_out3\[107\],19.52µm
_01860_,19.5µm
_04621_,19.46µm
_03234_,19.45µm
_04152_,19.44µm
_05680_,19.44µm
_00588_,19.42µm
_05540_,19.4µm
_01472_,19.38µm
_01342_,19.36µm
_02912_,19.36µm
_01010_,19.34µm
_01186_,19.34µm
_04372_,19.34µm
mac_wt_in3\[3\],19.34µm
_00581_,19.32µm
_04100_,19.32µm
_05675_,19.28µm
_01961_,19.26µm
_03279_,19.25µm
_02524_,19.24µm
_02948_,19.24µm
_05408_,19.24µm
_05044_,19.22µm
_03827_,19.2µm
wt_arr[1],19.19µm
_01380_,19.18µm
_02012_,19.18µm
_03867_,19.16µm
_04686_,19.16µm
_05589_,19.16µm
_06230_,19.16µm
_00918_,19.14µm
_05932_,19.14µm
_01422_,19.12µm
_06233_,19.12µm
_06111_,19.1µm
_02557_,19.08µm
_01029_,19.06µm
_01310_,19.06µm
_04221_,19.03µm
_04592_,19.02µm
_01700_,19µm
_03823_,19µm
_04255_,19µm
_05192_,19µm
_01150_,18.98µm
_05762_,18.96µm
data_arr[27],18.96µm
net841,18.96µm
_06206_,18.94µm
net55,18.94µm
_01989_,18.92µm
_05667_,18.92µm
_00656_,18.9µm
_01756_,18.9µm
_01803_,18.9µm
_05298_,18.9µm
_03921_,18.88µm
_05472_,18.88µm
_00441_,18.86µm
_01361_,18.82µm
_05135_,18.82µm
_02479_,18.8µm
_02641_,18.8µm
mac_acc_in3\[80\],18.78µm
_01249_,18.77µm
_02362_,18.765µm
_00082_,18.745µm
_05166_,18.72µm
_05593_,18.72µm
net820,18.705µm
_02032_,18.7µm
_00479_,18.685µm
_05437_,18.68µm
_01535_,18.66µm
_05321_,18.66µm
_02849_,18.62µm
_01886_,18.6µm
_04763_,18.6µm
_04801_,18.58µm
_01732_,18.56µm
_02852_,18.56µm
_04473_,18.56µm
_05075_,18.56µm
_05097_,18.56µm
_03906_,18.55µm
_04202_,18.54µm
_04557_,18.54µm
_05815_,18.54µm
_04237_,18.52µm
_05380_,18.52µm
_02519_,18.5µm
_02027_,18.48µm
_02541_,18.48µm
_02731_,18.48µm
_06315_,18.48µm
_05084_,18.46µm
wt_arr[10],18.45µm
_02859_,18.42µm
_04012_,18.42µm
_05824_,18.42µm
_00953_,18.41µm
net823,18.4µm
_04494_,18.34µm
_03533_,18.32µm
_05189_,18.32µm
_05304_,18.32µm
_00637_,18.3µm
_00661_,18.28µm
_01352_,18.28µm
_03168_,18.26µm
_03756_,18.26µm
_03285_,18.24µm
_05041_,18.22µm
_03778_,18.2µm
_04595_,18.2µm
_05450_,18.2µm
_00933_,18.18µm
_04053_,18.18µm
_04562_,18.16µm
_04741_,18.16µm
_05002_,18.16µm
_03599_,18.14µm
_05984_,18.14µm
_01481_,18.12µm
_05045_,18.12µm
_04265_,18.1µm
_05590_,18.1µm
acc_out[98],18.1µm
_02352_,18.08µm
_03275_,18.08µm
_03694_,18.08µm
_00929_,18.06µm
_01597_,18.04µm
_05078_,18.04µm
_04303_,18.02µm
_04991_,18.02µm
_02424_,18µm
_03630_,18µm
_01885_,17.98µm
_02455_,17.98µm
_01962_,17.96µm
_02361_,17.96µm
_03118_,17.96µm
_03926_,17.94µm
_02751_,17.91µm
_01627_,17.9µm
_01560_,17.88µm
_01076_,17.87µm
_04141_,17.86µm
_04213_,17.86µm
_04354_,17.86µm
_02911_,17.84µm
_03052_,17.84µm
_06331_,17.84µm
_04083_,17.82µm
_05976_,17.82µm
clknet_leaf_26_clk,17.82µm
_01438_,17.8µm
_01491_,17.8µm
_04442_,17.8µm
_05148_,17.8µm
_01424_,17.78µm
_01902_,17.78µm
_02067_,17.78µm
_02149_,17.78µm
_05972_,17.78µm
_06207_,17.78µm
clknet_leaf_41_clk,17.78µm
_05664_,17.77µm
_04337_,17.76µm
_00861_,17.74µm
_01695_,17.74µm
_02970_,17.74µm
_05927_,17.71µm
_00903_,17.7µm
_03661_,17.64µm
_05808_,17.64µm
mac_acc_in3\[13\],17.62µm
_05167_,17.6µm
mac_data_in3\[10\],17.6µm
_02003_,17.58µm
_01994_,17.57µm
_06039_,17.56µm
_06045_,17.56µm
_00714_,17.54µm
_02768_,17.54µm
_02010_,17.48µm
_02167_,17.48µm
_00990_,17.46µm
_00904_,17.44µm
_04447_,17.44µm
net13,17.42µm
_05861_,17.41µm
_02131_,17.4µm
_05423_,17.4µm
_06269_,17.4µm
_00950_,17.37µm
_02553_,17.32µm
_04330_,17.3µm
_05906_,17.3µm
_04922_,17.28µm
_04975_,17.28µm
_06054_,17.28µm
_03339_,17.245µm
_01281_,17.21µm
_02242_,17.2µm
_02833_,17.18µm
_05163_,17.18µm
_06311_,17.18µm
acc_out[5],17.18µm
_01992_,17.16µm
_04779_,17.16µm
_04253_,17.14µm
_04750_,17.14µm
_06356_,17.14µm
_06142_,17.12µm
acc_out[7],17.12µm
_01741_,17.1µm
_03957_,17.1µm
_02481_,17.08µm
_03988_,17.06µm
_05077_,17.06µm
_05940_,17.06µm
_01680_,17.04µm
_02690_,17.04µm
_05479_,17.04µm
_01715_,17µm
acc_out[112],16.99µm
_06163_,16.98µm
_04430_,16.95µm
_05779_,16.95µm
mac_acc_in1\[3\],16.94µm
_01236_,16.92µm
net741,16.92µm
_03103_,16.9µm
_06218_,16.88µm
mac_acc_in2\[68\],16.87µm
_00587_,16.86µm
_00594_,16.86µm
_01058_,16.86µm
_01569_,16.86µm
_03400_,16.86µm
_06050_,16.86µm
_01772_,16.85µm
wt_arr[5],16.83µm
_01527_,16.82µm
_02284_,16.82µm
_02386_,16.82µm
_02494_,16.82µm
_05283_,16.82µm
net814,16.805µm
wt_arr[12],16.79µm
_00694_,16.78µm
_05915_,16.78µm
mac_acc_in3\[34\],16.78µm
_00881_,16.77µm
_01612_,16.76µm
mac_acc_out3\[103\],16.76µm
_00696_,16.74µm
_02593_,16.74µm
_04448_,16.73µm
_05353_,16.72µm
_02749_,16.7µm
_05036_,16.7µm
_04512_,16.68µm
_05228_,16.68µm
_01905_,16.67µm
_00336_,16.66µm
_03111_,16.66µm
_01950_,16.62µm
_05943_,16.62µm
_01094_,16.6µm
_01118_,16.6µm
_02218_,16.6µm
_02409_,16.6µm
_04367_,16.6µm
_01294_,16.59µm
_03952_,16.585µm
_00635_,16.54µm
_01635_,16.54µm
_05013_,16.54µm
_05103_,16.54µm
_01276_,16.53µm
acc_out[32],16.53µm
_04112_,16.525µm
_05733_,16.52µm
_00630_,16.5µm
_00759_,16.5µm
_02499_,16.5µm
_02619_,16.48µm
_03739_,16.48µm
_04861_,16.48µm
_05247_,16.48µm
_04697_,16.47µm
_01638_,16.44µm
_04397_,16.44µm
_02415_,16.42µm
_02871_,16.41µm
_01070_,16.4µm
_02015_,16.4µm
_00440_,16.385µm
_05965_,16.385µm
_05524_,16.38µm
_04666_,16.32µm
_00781_,16.3µm
_01123_,16.3µm
_01368_,16.3µm
_04166_,16.3µm
_06244_,16.285µm
_01551_,16.28µm
_01618_,16.28µm
_03264_,16.28µm
_03426_,16.28µm
_01172_,16.26µm
mac_acc_in3\[35\],16.26µm
_05015_,16.24µm
_06129_,16.24µm
clknet_leaf_45_clk,16.24µm
_02914_,16.23µm
_01617_,16.22µm
_05363_,16.22µm
_05744_,16.22µm
mac_data_in3\[12\],16.22µm
_04776_,16.2µm
_05714_,16.2µm
_06035_,16.2µm
_00982_,16.185µm
_04876_,16.18µm
data_arr[11],16.17µm
_03084_,16.16µm
_04950_,16.16µm
_05382_,16.16µm
_06117_,16.16µm
_02659_,16.15µm
_02616_,16.14µm
_04082_,16.14µm
_01211_,16.1µm
_01969_,16.1µm
_04736_,16.1µm
_05866_,16.1µm
_00743_,16.08µm
_01739_,16.08µm
_04048_,16.07µm
_01240_,16.06µm
_04982_,16.06µm
_05535_,16.06µm
_02434_,16.04µm
_02645_,16.04µm
_05498_,16.04µm
data_arr[23],16.04µm
_04130_,16.02µm
_01406_,16µm
_02674_,16µm
_04647_,16µm
_00777_,15.985µm
_04336_,15.98µm
_04667_,15.98µm
_05352_,15.98µm
_03124_,15.97µm
_03917_,15.97µm
_03045_,15.96µm
_03573_,15.945µm
_02718_,15.94µm
_02861_,15.94µm
_00130_,15.92µm
_02579_,15.92µm
_04543_,15.92µm
_05091_,15.92µm
_04289_,15.915µm
_05233_,15.9µm
_00805_,15.895µm
_01903_,15.88µm
_05240_,15.88µm
_01185_,15.86µm
_03413_,15.86µm
_03521_,15.86µm
_04669_,15.86µm
_05868_,15.86µm
_02109_,15.855µm
_03711_,15.84µm
_03743_,15.84µm
_04662_,15.84µm
_05462_,15.84µm
_02747_,15.83µm
_02841_,15.82µm
_05922_,15.82µm
_01329_,15.8µm
_01473_,15.8µm
_03405_,15.8µm
_06166_,15.8µm
_02249_,15.78µm
_05724_,15.78µm
_04561_,15.76µm
_06023_,15.74µm
_01643_,15.72µm
_00879_,15.7µm
_02558_,15.7µm
_04085_,15.7µm
_05681_,15.7µm
mac_wt_in3\[4\],15.7µm
_06123_,15.695µm
_01828_,15.68µm
_05243_,15.68µm
_03062_,15.66µm
_05289_,15.66µm
_00393_,15.645µm
_02765_,15.64µm
_03458_,15.63µm
_02789_,15.62µm
_02990_,15.62µm
_04487_,15.62µm
_06184_,15.62µm
_00400_,15.605µm
_03618_,15.6µm
_05154_,15.6µm
_05642_,15.6µm
_05718_,15.6µm
_01642_,15.58µm
_01655_,15.58µm
_03244_,15.57µm
_01466_,15.56µm
_01593_,15.56µm
_03417_,15.56µm
net730,15.56µm
_00851_,15.555µm
_01948_,15.54µm
_03034_,15.54µm
_02500_,15.52µm
_05686_,15.52µm
_05979_,15.52µm
_06385_,15.52µm
_00794_,15.48µm
_00952_,15.48µm
_03670_,15.48µm
_01104_,15.47µm
_02025_,15.46µm
_04547_,15.46µm
_04180_,15.44µm
_04685_,15.44µm
_01851_,15.42µm
_05446_,15.42µm
mac_acc_in1\[2\],15.42µm
_01299_,15.4µm
_01663_,15.4µm
_02604_,15.4µm
_04023_,15.4µm
_04927_,15.4µm
_01251_,15.38µm
_04614_,15.38µm
_02666_,15.36µm
_02618_,15.34µm
_05688_,15.34µm
_01320_,15.32µm
_00612_,15.3µm
_01730_,15.3µm
_03390_,15.3µm
_04399_,15.3µm
_06153_,15.3µm
_00925_,15.28µm
_02105_,15.28µm
_02458_,15.28µm
_02695_,15.28µm
_06119_,15.28µm
_00515_,15.26µm
_00757_,15.26µm
_01985_,15.26µm
_00718_,15.24µm
_01599_,15.24µm
_02624_,15.24µm
_06277_,15.24µm
u_MAC34.mac_weight\[6\],15.24µm
wt_arr[24],15.24µm
_03466_,15.22µm
_05648_,15.22µm
_00995_,15.2µm
_04232_,15.2µm
_01259_,15.18µm
_01768_,15.18µm
_01041_,15.16µm
_05774_,15.16µm
_04127_,15.14µm
_02939_,15.12µm
_02823_,15.1µm
_03229_,15.1µm
_04407_,15.1µm
_05634_,15.1µm
_05842_,15.1µm
mac_data_in3\[6\],15.1µm
_01735_,15.08µm
_01780_,15.08µm
_02596_,15.08µm
_03429_,15.08µm
_03928_,15.08µm
_04044_,15.08µm
_04674_,15.08µm
_00946_,15.06µm
_01373_,15.06µm
_01707_,15.06µm
_02400_,15.06µm
_05403_,15.06µm
_02487_,15.04µm
_00834_,15.02µm
_02387_,15.02µm
_05627_,15.02µm
_02819_,15.01µm
_00469_,15.005µm
_00392_,15µm
_02236_,15µm
_03083_,15µm
_05743_,15µm
_00524_,14.99µm
_01357_,14.98µm
_01448_,14.98µm
_01247_,14.96µm
_01670_,14.96µm
_02163_,14.96µm
_06112_,14.96µm
_02342_,14.95µm
_02205_,14.94µm
_04817_,14.94µm
_05191_,14.94µm
_06263_,14.94µm
_03611_,14.93µm
_00622_,14.9µm
_01999_,14.9µm
_03299_,14.9µm
_03705_,14.9µm
_06333_,14.9µm
_00315_,14.885µm
_02498_,14.88µm
_05778_,14.88µm
_03332_,14.86µm
_04782_,14.86µm
_06342_,14.86µm
_05200_,14.84µm
data_arr[2],14.83µm
_05170_,14.825µm
_05042_,14.82µm
_02176_,14.78µm
_04457_,14.78µm
_00261_,14.765µm
_00596_,14.76µm
_01200_,14.76µm
_01710_,14.76µm
_04665_,14.76µm
_03747_,14.74µm
_04699_,14.74µm
_04743_,14.74µm
_02548_,14.72µm
_02779_,14.72µm
_02811_,14.72µm
_04297_,14.72µm
_04797_,14.72µm
_05263_,14.72µm
_05490_,14.72µm
_05758_,14.72µm
mac_data_in1\[23\],14.72µm
_02757_,14.7µm
_03240_,14.7µm
_03468_,14.7µm
_04504_,14.7µm
_06338_,14.7µm
wt_arr[26],14.7µm
net15,14.7µm
_01115_,14.66µm
mac_data_in1\[14\],14.66µm
_00645_,14.64µm
_01014_,14.64µm
_01289_,14.64µm
_01566_,14.64µm
_01515_,14.62µm
_02640_,14.62µm
_04233_,14.62µm
_06227_,14.62µm
_06183_,14.61µm
_01221_,14.6µm
_02147_,14.6µm
_03509_,14.6µm
_03567_,14.6µm
_04097_,14.6µm
_04374_,14.6µm
_04577_,14.595µm
_03319_,14.59µm
_01914_,14.58µm
_03481_,14.58µm
_03569_,14.58µm
_00785_,14.56µm
_06059_,14.56µm
_04960_,14.54µm
_00489_,14.525µm
_02046_,14.52µm
_03738_,14.52µm
_04108_,14.52µm
_04664_,14.52µm
_01478_,14.5µm
_04361_,14.5µm
_05476_,14.5µm
_00632_,14.48µm
_02565_,14.48µm
_04254_,14.48µm
_02049_,14.46µm
_02559_,14.46µm
_02173_,14.45µm
_00099_,14.445µm
_02723_,14.44µm
_04417_,14.44µm
_03816_,14.42µm
_05657_,14.42µm
_01238_,14.4µm
_03915_,14.4µm
_05054_,14.4µm
_02931_,14.39µm
_04460_,14.38µm
_04692_,14.38µm
_06379_,14.38µm
_05764_,14.375µm
_01877_,14.36µm
_01896_,14.36µm
_03104_,14.36µm
_03557_,14.36µm
_05670_,14.35µm
net146,14.35µm
_03283_,14.34µm
_05626_,14.34µm
_00692_,14.32µm
_02384_,14.32µm
_02932_,14.32µm
_04551_,14.32µm
_02102_,14.3µm
_02436_,14.3µm
_02636_,14.3µm
_03167_,14.3µm
_05753_,14.3µm
mac_data_in3\[22\],14.3µm
_03196_,14.29µm
_04195_,14.28µm
_04864_,14.28µm
_05935_,14.28µm
_01589_,14.27µm
_02501_,14.265µm
_01302_,14.26µm
_03043_,14.26µm
_05047_,14.26µm
_01873_,14.24µm
_02104_,14.24µm
_02694_,14.24µm
_05425_,14.24µm
acc_out[100],14.24µm
_01026_,14.22µm
_01573_,14.22µm
_03886_,14.22µm
_03920_,14.22µm
_04103_,14.22µm
_05499_,14.22µm
_05588_,14.22µm
_02077_,14.2µm
_02395_,14.2µm
_04121_,14.2µm
_04312_,14.2µm
_04895_,14.18µm
_04996_,14.18µm
clknet_leaf_59_clk,14.18µm
_05694_,14.16µm
_05358_,14.14µm
_01354_,14.12µm
_02609_,14.12µm
_02656_,14.11µm
_02355_,14.1µm
_06361_,14.1µm
_00787_,14.08µm
_04880_,14.08µm
_03289_,14.065µm
_01852_,14.04µm
_06201_,14.04µm
_01192_,14.02µm
_03262_,14.02µm
_05147_,14.02µm
_01692_,14µm
_02792_,14µm
_04728_,14µm
_05381_,14µm
_00426_,13.985µm
_03658_,13.98µm
_03910_,13.98µm
_04329_,13.98µm
_05005_,13.98µm
_04299_,13.96µm
_00856_,13.94µm
_01763_,13.94µm
_03524_,13.94µm
_01149_,13.92µm
_01269_,13.92µm
_04774_,13.92µm
_01441_,13.9µm
_05973_,13.9µm
_03636_,13.88µm
_04305_,13.88µm
_04680_,13.88µm
_05611_,13.88µm
_06200_,13.88µm
_01928_,13.86µm
_02762_,13.86µm
_03855_,13.86µm
_06194_,13.86µm
_01161_,13.85µm
_00543_,13.84µm
_01099_,13.84µm
_01446_,13.84µm
_02469_,13.84µm
_02783_,13.84µm
_02813_,13.84µm
_05087_,13.84µm
_05604_,13.84µm
_06027_,13.84µm
_01215_,13.82µm
_01740_,13.82µm
_02806_,13.82µm
_03354_,13.82µm
net153,13.82µm
_01224_,13.8µm
_02485_,13.8µm
_02855_,13.8µm
_02913_,13.8µm
_04314_,13.8µm
_04321_,13.8µm
_05346_,13.8µm
_05495_,13.78µm
_02264_,13.765µm
_02467_,13.76µm
_03740_,13.76µm
_04917_,13.76µm
_05443_,13.76µm
_06089_,13.76µm
_04529_,13.74µm
_02828_,13.72µm
_03047_,13.72µm
_03153_,13.72µm
_03764_,13.7µm
_04732_,13.7µm
_05401_,13.7µm
acc_out[111],13.69µm
acc_out[33],13.69µm
_01806_,13.685µm
_03555_,13.68µm
mac_acc_in1\[32\],13.68µm
mac_data_in1\[25\],13.68µm
_03880_,13.67µm
_03498_,13.66µm
_01755_,13.65µm
_00960_,13.64µm
_01162_,13.64µm
_01206_,13.64µm
_01399_,13.64µm
_04286_,13.64µm
_06012_,13.64µm
_01876_,13.62µm
_04281_,13.62µm
_05649_,13.62µm
_01105_,13.6µm
_01571_,13.6µm
_02024_,13.6µm
_02894_,13.6µm
_02980_,13.6µm
_03514_,13.6µm
_05048_,13.6µm
_03009_,13.58µm
_03208_,13.58µm
_03216_,13.58µm
_05232_,13.58µm
_01587_,13.56µm
_02075_,13.56µm
_03639_,13.56µm
_04578_,13.56µm
_05177_,13.56µm
_00270_,13.545µm
_01346_,13.54µm
_05305_,13.54µm
acc_out[101],13.54µm
_04037_,13.52µm
_05746_,13.515µm
_00788_,13.5µm
_01939_,13.5µm
_03996_,13.5µm
_04223_,13.5µm
_01151_,13.48µm
_02683_,13.48µm
_03091_,13.48µm
_03255_,13.48µm
_04682_,13.48µm
_05028_,13.48µm
_05974_,13.48µm
acc_out[34],13.47µm
_05705_,13.465µm
_02180_,13.46µm
_02614_,13.46µm
_02625_,13.46µm
_03688_,13.46µm
_01075_,13.44µm
_01147_,13.44µm
_02011_,13.44µm
_03766_,13.44µm
_04309_,13.44µm
_03474_,13.42µm
_03578_,13.42µm
_04971_,13.42µm
_05618_,13.42µm
_02649_,13.405µm
_00747_,13.4µm
_01504_,13.4µm
_01681_,13.4µm
_01936_,13.4µm
_03328_,13.4µm
_03758_,13.4µm
_04322_,13.4µm
mac_acc_out3\[42\],13.4µm
_01452_,13.38µm
_01509_,13.38µm
_01712_,13.38µm
_01889_,13.38µm
_03245_,13.38µm
_05162_,13.38µm
_04564_,13.37µm
net144,13.36µm
_01738_,13.34µm
_02478_,13.34µm
_02510_,13.34µm
_02854_,13.34µm
_04004_,13.34µm
_05679_,13.34µm
_06363_,13.305µm
_01628_,13.3µm
_01984_,13.3µm
_05942_,13.3µm
_01488_,13.29µm
_01555_,13.28µm
_06018_,13.28µm
_02354_,13.26µm
_04056_,13.26µm
_04859_,13.26µm
_04980_,13.26µm
_05293_,13.26µm
_06062_,13.26µm
_06264_,13.26µm
_04240_,13.25µm
