Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_139_461,VPWR,li1,218.2700,388.9600,1.799799
FILLER_139_458,VPWR,li1,216.8900,388.9600,1.799799
FILLER_139_455,VPWR,li1,215.5100,388.9600,1.799799
FILLER_139_449,VPWR,li1,212.5200,388.9600,1.799799
FILLER_139_441,VPWR,li1,209.0700,388.9600,1.799802
FILLER_139_377,VPWR,li1,179.1700,388.9600,1.799860
FILLER_139_337,VPWR,li1,160.7700,388.9600,1.799791
FILLER_139_325,VPWR,li1,155.7100,388.9600,1.799760
FILLER_139_299,VPWR,li1,143.2900,388.9600,1.799709
FILLER_139_296,VPWR,li1,142.3700,388.9600,1.799702
FILLER_139_293,VPWR,li1,140.9900,388.9600,1.799702
FILLER_139_290,VPWR,li1,139.6100,388.9600,1.799693
FILLER_139_287,VPWR,li1,138.2300,388.9600,1.799686
FILLER_139_281,VPWR,li1,135.2400,388.9600,1.799678
FILLER_139_279,VPWR,li1,134.0900,388.9600,1.799678
FILLER_139_276,VPWR,li1,133.1700,388.9600,1.799671
FILLER_139_273,VPWR,li1,131.7900,388.9600,1.799671
FILLER_139_267,VPWR,li1,128.8000,388.9600,1.799663
FILLER_139_253,VPWR,li1,122.1300,388.9600,1.799649
FILLER_139_246,VPWR,li1,119.1400,388.9600,1.799646
FILLER_139_243,VPWR,li1,117.9900,388.9600,1.799646
FILLER_139_240,VPWR,li1,116.6100,388.9600,1.799645
FILLER_139_225,VPWR,li1,109.7100,388.9600,1.799647
FILLER_139_213,VPWR,li1,104.1900,388.9600,1.799652
FILLER_139_210,VPWR,li1,102.8100,388.9600,1.799652
FILLER_139_205,VPWR,li1,100.0500,388.9600,1.799655
FILLER_139_191,VPWR,li1,93.6100,388.9600,1.799669
FILLER_139_188,VPWR,li1,92.6900,388.9600,1.799669
FILLER_139_185,VPWR,li1,91.3100,388.9600,1.799674
FILLER_139_182,VPWR,li1,89.9300,388.9600,1.799674
FILLER_139_177,VPWR,li1,87.1700,388.9600,1.799681
FILLER_139_167,VPWR,li1,82.5700,388.9600,1.799698
FILLER_139_161,VPWR,li1,80.2700,388.9600,1.799706
FILLER_139_156,VPWR,li1,77.5100,388.9600,1.799713
FILLER_139_153,VPWR,li1,76.5900,388.9600,1.799722
FILLER_139_150,VPWR,li1,75.2100,388.9600,1.799722
FILLER_139_147,VPWR,li1,73.8300,388.9600,1.799732
FILLER_139_144,VPWR,li1,72.4500,388.9600,1.799732
FILLER_139_141,VPWR,li1,71.0700,388.9600,1.799743
FILLER_139_133,VPWR,li1,67.3900,388.9600,1.799752
FILLER_139_126,VPWR,li1,64.1700,388.9600,1.799765
FILLER_139_116,VPWR,li1,59.3400,388.9600,1.799785
FILLER_139_113,VPWR,li1,58.1900,388.9600,1.799795
FILLER_139_109,VPWR,li1,56.3500,388.9600,1.799804
FILLER_139_106,VPWR,li1,54.9700,388.9600,1.799804
FILLER_139_103,VPWR,li1,53.5900,388.9600,1.799813
FILLER_139_100,VPWR,li1,52.2100,388.9600,1.799823
FILLER_139_97,VPWR,li1,50.8300,388.9600,1.799823
FILLER_139_94,VPWR,li1,49.4500,388.9600,1.799836
FILLER_139_91,VPWR,li1,48.0700,388.9600,1.799836
FILLER_139_88,VPWR,li1,46.6900,388.9600,1.799848
FILLER_139_85,VPWR,li1,45.3100,388.9600,1.799848
FILLER_139_81,VPWR,li1,43.4700,388.9600,1.799857
FILLER_139_78,VPWR,li1,42.0900,388.9600,1.799865
FILLER_139_75,VPWR,li1,40.7100,388.9600,1.799875
FILLER_139_72,VPWR,li1,39.3300,388.9600,1.799875
FILLER_139_69,VPWR,li1,37.9500,388.9600,1.799884
FILLER_139_66,VPWR,li1,36.5700,388.9600,1.799894
FILLER_139_63,VPWR,li1,35.1900,388.9600,1.799894
FILLER_139_60,VPWR,li1,33.8100,388.9600,1.799902
FILLER_139_57,VPWR,li1,32.4300,388.9600,1.799911
FILLER_139_53,VPWR,li1,30.5900,388.9600,1.799921
